cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
35656187000160;2019-11-29;true;1412602;CONFECCAO SOB MEDIDA DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;BENS DE CONSUMO;INDUSTRIA;29146540;CARIACICA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;ATIVA
37202160000123;2020-05-21;true;1749400;FABRICACAO DE PRODUTOS DE PASTAS CELULOSICAS PAPEL CARTOLINA PAPEL CARTAO E PAPELAO ONDULADO NAO ESPECIFICADOS ANTERIORMENTE;PAPEL E CELULOSE;INDUSTRIA;44630000;MAIRI;BA;NORDESTE;CENTRO NORTE BAIANO;ATIVA
37183051000106;2020-05-19;true;5620104;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;18075605;SOROCABA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;ATIVA
26649888000181;2016-12-02;true;4789004;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;VAREJO;COMERCIO;48005450;ALAGOINHAS;BA;NORDESTE;NORDESTE BAIANO;ATIVA
14322163000103;2011-09-16;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;87053330;MARINGA;PR;SUL;NORTE CENTRAL PARANAENSE;ATIVA
29735751000138;2018-02-21;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;40300680;SALVADOR;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA
33215725000156;2019-04-02;true;4929901;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS SOB REGIME DE FRETAMENTO MUNICIPAL;TRANSPORTE;SERVICOS;95560000;TORRES;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA
13935483000168;2011-07-06;true;3313999;MANUTENCAO E REPARACAO DE MAQUINAS APARELHOS E MATERIAIS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS DIVERSOS;SERVICOS;50820000;RECIFE;PE;NORDESTE;METROPOLITANA DE RECIFE;ATIVA
21976760000109;2015-03-04;true;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;81020200;CURITIBA;PR;SUL;METROPOLITANA DE CURITIBA;ATIVA
48229485000116;2022-10-07;true;8219999;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;05125010;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
26273701000198;2016-09-30;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;35701112;SETE LAGOAS;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;ATIVA
34560005000190;2019-08-16;true;4923001;SERVICO DE TAXI;TRANSPORTE;SERVICOS;29060030;VITORIA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;ATIVA
